Timestamp,Record Type,Instrument,Ob Position,Quantity Diff,Ob Command,Change Reason,Order Number,Premium (256ths),Quantity,Bid/Ask,Total Volume,Display Quantity,Sequence,Source,Instrument Name,Deal Source,Aggressive,Workup State,Workup Reason,Aggressive Order Number,Aggressive Bid/Ask,Passive Order Number,Passive Bid/Ask
07:44:13:527088 20180108,OB_CHANGE,2_YEAR,62.0,-2.0,DELETE,1.0,605794000006DE02,25562,0.0,A,0.0,,17930,OC,,,,,,,,,
07:44:13:527117 20180108,OB_CHANGE,2_YEAR,1.0,-2.0,ALTER,3.0,605794000006E391,25560,7.0,B,0.0,,17932,OC,,,,,,,,,
07:44:13:527117 20180108,WORKUP,,,,,,,25560,,,,,17931,WU,2_YEAR,,,11.0,1.0,0.0,1.0,0.0,2.0
07:44:13:527117 20180108,TRADE,,,,,,605794000006E391,25560,2.0,B,,,17933,T,2_YEAR,1.0,1.0,,,,,,
07:44:13:527117 20180108,TRADE,,,,,,605794000006E396,25560,2.0,A,,,17934,T,2_YEAR,1.0,0.0,,,,,,
07:44:13:527147 20180108,OB_CHANGE,2_YEAR,73.0,1.0,ADD,6.0,605794000006E398,25558,1.0,B,0.0,,17935,OC,,,,,,,,,
07:44:13:527159 20180108,OB_CHANGE,2_YEAR,65.0,-1.0,DELETE,1.0,605794000006E2F4,25562,0.0,A,0.0,,17936,OC,,,,,,,,,
07:44:13:527202 20180108,OB_CHANGE,2_YEAR,67.0,-1.0,DELETE,1.0,605794000006E2FA,25562,0.0,A,0.0,,17937,OC,,,,,,,,,
07:44:13:527221 20180108,OB_CHANGE,2_YEAR,65.0,-2.0,DELETE,1.0,605794000006E2F7,25562,0.0,A,0.0,,17938,OC,,,,,,,,,
07:44:13:527235 20180108,OB_CHANGE,2_YEAR,74.0,3.0,ADD,6.0,605794000006E3A5,25558,3.0,B,0.0,,17939,OC,,,,,,,,,
07:44:13:527255 20180108,OB_CHANGE,2_YEAR,75.0,2.0,ADD,6.0,605794000006E3A8,25558,2.0,B,0.0,,17940,OC,,,,,,,,,
07:44:13:527266 20180108,OB_CHANGE,2_YEAR,1.0,-6.0,ALTER,3.0,605794000006E391,25560,1.0,B,0.0,,17942,OC,,,,,,,,,
07:44:13:527266 20180108,WORKUP,,,,,,,25560,,,,,17941,WU,2_YEAR,,,11.0,1.0,0.0,1.0,0.0,2.0
07:44:13:527266 20180108,TRADE,,,,,,605794000006E391,25560,6.0,B,,,17943,T,2_YEAR,1.0,1.0,,,,,,
07:44:13:527266 20180108,TRADE,,,,,,605794000006E3AA,25560,6.0,A,,,17944,T,2_YEAR,1.0,0.0,,,,,,
07:44:13:527281 20180108,OB_CHANGE,2_YEAR,65.0,-2.0,DELETE,1.0,605794000006E2F8,25562,0.0,A,0.0,,17945,OC,,,,,,,,,
