Sequence,Action,Qty,Price,Liquidity,Direction
599,+2,2,99.828125,20896.0546875,Up
600,+1,1,99.828125,20995.8828125,Up
601,+8,8,99.828125,21794.5078125,Up
602,+1,1,99.828125,21894.3359375,Up
603,+2,2,99.7890625,22093.9140625,Up
604,-2,2,99.8359375,21894.2421875,Down
605,+2,2,99.828125,22093.8984375,Up
606,+42,42,99.8203125,26286.3515625,Up
607,-42,42,99.84375,22092.9140625,Down
608,+10,10,99.78125,23090.7265625,Up
609,+10,10,99.828125,24089.0078125,Up
610,-0,0,99.828125,24089.0078125,Sideways
611,+10,10,99.78125,25086.8203125,Up
612,+10,10,99.828125,26085.1015625,Up
613,+2,2,99.828125,26284.7578125,Up
614,+2,2,99.828125,26484.4140625,Up
615,+1,1,99.828125,26584.2421875,Up
616,+1,1,99.828125,26684.0703125,Up
617,+2,2,99.828125,26883.7265625,Up
618,+2,2,99.828125,27083.3828125,Up
619,+2,2,99.828125,27283.0390625,Up
620,+2,2,99.828125,27482.6953125,Up
621,+2,2,99.828125,27682.3515625,Up
622,+2,2,99.828125,27882.0078125,Up
623,+2,2,99.828125,28081.6640625,Up
624,+1,1,99.828125,28181.4921875,Up
625,+3,3,99.828125,28480.9765625,Up
626,+2,2,99.828125,28680.6328125,Up
627,+2,2,99.828125,28880.2890625,Up
628,+2,2,99.828125,29079.9453125,Up
629,+3,3,99.828125,29379.4296875,Up
630,+2,2,99.828125,29579.0859375,Up
631,+3,3,99.828125,29878.5703125,Up
632,+2,2,99.828125,30078.2265625,Up
633,+2,2,99.828125,30277.8828125,Up
634,+10,10,99.828125,31276.1640625,Up
635,+10,10,99.78125,32273.9765625,Up
636,+2,2,99.828125,32473.6328125,Up
637,+2,2,99.828125,32673.2890625,Up
638,+2,2,99.828125,32872.9453125,Up
640,+1,1,99.828125,32972.7734375,Up
641,-0,0,99.828125,32972.7734375,Sideways
642,+1,1,99.828125,33072.6015625,Up
643,-7,7,99.828125,32373.8046875,Down
650,+10,10,99.828125,33372.0859375,Up
651,+2,2,99.828125,33571.7421875,Up
