minute,event_count
2018-01-08 08:01:00,112
2018-01-08 08:02:00,57
2018-01-08 08:03:00,61
2018-01-08 08:04:00,129
2018-01-08 08:05:00,10
2018-01-08 08:06:00,68
2018-01-08 08:07:00,182
2018-01-08 08:08:00,224
2018-01-08 08:09:00,110
2018-01-08 08:10:00,202
2018-01-08 08:11:00,65
2018-01-08 08:12:00,6
2018-01-08 08:13:00,13
2018-01-08 08:14:00,98
2018-01-08 08:15:00,53
2018-01-08 08:16:00,34
2018-01-08 08:17:00,81
2018-01-08 08:18:00,73
2018-01-08 08:19:00,33
2018-01-08 08:20:00,260
2018-01-08 08:21:00,135
2018-01-08 08:22:00,62
2018-01-08 08:23:00,64
2018-01-08 08:24:00,14
2018-01-08 08:25:00,60
2018-01-08 08:26:00,146
2018-01-08 08:27:00,39
2018-01-08 08:28:00,75
2018-01-08 08:29:00,183
2018-01-08 08:30:00,1362
2018-01-08 08:31:00,67
2018-01-08 08:32:00,200
2018-01-08 08:33:00,69
2018-01-08 08:34:00,156
2018-01-08 08:35:00,75
2018-01-08 08:36:00,18
2018-01-08 08:37:00,411
2018-01-08 08:38:00,316
2018-01-08 08:39:00,100
2018-01-08 08:40:00,144
2018-01-08 08:41:00,301
2018-01-08 08:42:00,39
2018-01-08 08:43:00,31
2018-01-08 08:44:00,1
2018-01-08 08:45:00,7
2018-01-08 08:46:00,43
2018-01-08 08:47:00,8
2018-01-08 08:48:00,13
2018-01-08 08:49:00,63
2018-01-08 08:50:00,220
2018-01-08 08:51:00,74
2018-01-08 08:52:00,41
2018-01-08 08:53:00,131
2018-01-08 08:54:00,84
2018-01-08 08:55:00,51
2018-01-08 08:56:00,2
2018-01-08 08:57:00,15
2018-01-08 08:58:00,176
2018-01-08 08:59:00,504
2018-01-08 09:00:00,359
2018-01-08 09:01:00,296
2018-01-08 09:02:00,75
2018-01-08 09:03:00,15
2018-01-08 09:04:00,47
2018-01-08 09:05:00,135
2018-01-08 09:06:00,50
2018-01-08 09:07:00,17
2018-01-08 09:08:00,1
2018-01-08 09:09:00,4
2018-01-08 09:10:00,41
2018-01-08 09:11:00,16
2018-01-08 09:12:00,1
2018-01-08 09:13:00,3
2018-01-08 09:14:00,37
2018-01-08 09:15:00,41
2018-01-08 09:16:00,48
2018-01-08 09:17:00,3
2018-01-08 09:18:00,89
2018-01-08 09:19:00,25
2018-01-08 09:20:00,140
2018-01-08 09:21:00,15
2018-01-08 09:22:00,5
2018-01-08 09:23:00,3
2018-01-08 09:24:00,2
2018-01-08 09:25:00,1
2018-01-08 09:26:00,6
2018-01-08 09:27:00,39
2018-01-08 09:28:00,1
2018-01-08 09:29:00,9
2018-01-08 09:30:00,236
2018-01-08 09:31:00,309
2018-01-08 09:32:00,188
2018-01-08 09:33:00,101
2018-01-08 09:34:00,113
2018-01-08 09:35:00,55
2018-01-08 09:36:00,626
2018-01-08 09:37:00,453
2018-01-08 09:38:00,257
2018-01-08 09:39:00,164
2018-01-08 09:40:00,589
2018-01-08 09:41:00,29
2018-01-08 09:42:00,163
2018-01-08 09:43:00,458
2018-01-08 09:44:00,317
2018-01-08 09:45:00,888
2018-01-08 09:46:00,42
2018-01-08 09:47:00,442
2018-01-08 09:48:00,258
2018-01-08 09:49:00,252
2018-01-08 09:50:00,277
2018-01-08 09:51:00,230
2018-01-08 09:52:00,205
2018-01-08 09:53:00,162
2018-01-08 09:54:00,82
2018-01-08 09:55:00,58
2018-01-08 09:56:00,56
2018-01-08 09:57:00,86
2018-01-08 09:58:00,714
2018-01-08 09:59:00,1016
2018-01-08 10:00:00,660
2018-01-08 10:01:00,334
2018-01-08 10:02:00,239
2018-01-08 10:03:00,724
2018-01-08 10:04:00,151
2018-01-08 10:05:00,19
2018-01-08 10:06:00,43
2018-01-08 10:07:00,16
2018-01-08 10:08:00,225
2018-01-08 10:09:00,178
2018-01-08 10:10:00,56
2018-01-08 10:11:00,670
2018-01-08 10:12:00,490
2018-01-08 10:13:00,154
2018-01-08 10:14:00,212
2018-01-08 10:15:00,14
2018-01-08 10:16:00,36
2018-01-08 10:17:00,185
2018-01-08 10:18:00,571
2018-01-08 10:19:00,444
2018-01-08 10:20:00,715
2018-01-08 10:21:00,57
2018-01-08 10:22:00,212
2018-01-08 10:23:00,25
2018-01-08 10:24:00,3
2018-01-08 10:25:00,58
2018-01-08 10:26:00,704
2018-01-08 10:27:00,203
2018-01-08 10:28:00,244
2018-01-08 10:29:00,146
2018-01-08 10:30:00,105
2018-01-08 10:31:00,504
2018-01-08 10:32:00,203
2018-01-08 10:33:00,69
2018-01-08 10:34:00,36
2018-01-08 10:35:00,193
2018-01-08 10:36:00,123
2018-01-08 10:37:00,106
2018-01-08 10:38:00,265
2018-01-08 10:39:00,91
2018-01-08 10:40:00,85
2018-01-08 10:41:00,132
